branch,species,species_code,grain,bio18,bio04,bio10,bio19,bedrock,TPI,dem_sd,northness,eastness,slope,TRI,landcover,bio14,bio06,bio12,depth_to_bedrock,dem_range,HLI,soil_water_cap,TWI,aspect,bio07
recent_noextrapol_weights_all_selected,Saxifraga blavii,SB,500,NA,NA,NA,NA,7.580261196535508,NA,NA,5.512038056617439,5.257929587417971,NA,NA,12.227169709216906,7.594951822080673,13.80547577948595,9.93560030619793,5.6369708857365985,6.328892853139817,6.277431021870572,6.273228828761209,5.124189067026394,NA,8.445860885913044
recent_noextrapol_weights_common,Gentiana dinarica,GD,100,NA,NA,NA,NA,9.999401498291096,NA,NA,6.47631464148704,NA,NA,NA,13.22312575101196,12.329898438297453,12.390897818366211,11.085173061649337,11.180656462205931,NA,8.357218738701194,7.55320761563381,7.404105974355976,NA,NA
recent_noextrapol_weights_common,Gentiana dinarica,GD,1000,NA,NA,NA,NA,7.518118549745949,NA,NA,4.706870919792451,NA,NA,NA,6.783335237755781,15.657420953913,14.274454592103108,16.076429594836974,13.052389382274118,NA,4.960378150349096,9.91043203480345,7.060170584426069,NA,NA
recent_noextrapol_weights_common,Gentiana dinarica,GD,200,NA,NA,NA,NA,7.758917586247921,NA,NA,5.384911518901442,NA,NA,NA,14.026596153036477,13.896563017888017,11.774133492004953,12.111070258618945,10.629614813724677,NA,8.139396064839348,9.60941755522236,6.669379539515864,NA,NA
recent_noextrapol_weights_common,Gentiana dinarica,GD,500,NA,NA,NA,NA,8.691738388216992,NA,NA,7.832332944857382,NA,NA,NA,9.391478729075539,13.256936180768959,11.621757461762678,11.8296665238846,9.61961641200916,NA,8.626258039999826,8.770831601845593,10.359383717579268,NA,NA
recent_noextrapol_weights_common,Gentiana tergestina,GT,100,NA,NA,NA,NA,11.876195897803479,NA,NA,8.208278907807317,5.42580148931117,NA,NA,13.281857787489281,13.793510733070963,9.629640506932743,10.316402883789433,NA,6.254065538745712,6.232589634723482,8.533050844698897,6.448605775627522,NA,NA
recent_noextrapol_weights_common,Gentiana tergestina,GT,1000,NA,NA,NA,NA,9.184803574379599,NA,NA,9.845266916739149,5.301304165461981,NA,NA,5.942382785985922,12.88792749422431,8.425642923024347,13.24122636520614,NA,8.778558519376045,8.457426090627772,9.615557314731225,8.319903850243515,NA,NA
recent_noextrapol_weights_common,Gentiana tergestina,GT,200,NA,NA,NA,NA,10.206015715505611,NA,NA,7.473687867785299,5.756307582504805,NA,NA,12.257646230943735,13.482596314482892,9.656864483857056,11.456957137146038,NA,6.219864683232283,7.85450310607527,7.986244305577435,7.649312572889581,NA,NA
recent_noextrapol_weights_common,Gentiana tergestina,GT,500,NA,NA,NA,NA,10.10032947962575,NA,NA,10.468032335143858,6.282367913973276,NA,NA,15.071833630145523,9.82076928348178,7.215922561940811,13.721022405923591,NA,4.823167061594404,6.41704201676956,9.124521426211517,6.954991885189927,NA,NA
recent_noextrapol_weights_common,Primula kitaibeliana,PK,100,NA,NA,NA,NA,NA,NA,NA,5.77154732633018,5.709418420101317,NA,NA,8.30640887324779,14.43866655731819,15.708132604038324,13.294546834274499,10.589396775606403,6.546807001020982,5.666595365380152,7.377148389580201,6.591331853101972,NA,NA
recent_noextrapol_weights_common,Primula kitaibeliana,PK,1000,NA,NA,NA,NA,NA,NA,NA,7.231156668139617,5.745534376312265,NA,NA,9.901102364421002,11.33007733012805,14.686307675515383,10.361606750601329,8.863139682217176,8.607734815068431,8.171926379214298,7.413214830083105,7.688199128299342,NA,NA
recent_noextrapol_weights_common,Primula kitaibeliana,PK,200,NA,NA,NA,NA,NA,NA,NA,5.9054836099787105,5.109549281758379,NA,NA,8.40178523861212,15.10780461733236,13.558500964162343,13.70122747028206,11.919613664901556,7.141661298558528,5.996590883655298,6.688421446363161,6.469361524395485,NA,NA
