branch,species,species_code,grain,predictor,relative_contribution,relative_contribution_pct,raw_contribution,n_kept_models,n_algorithms,n_input_predictors,n_candidate_models,n_kept_models_total,n_kept_algorithms,sum_effective_model_weights,source_file
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,bio10,0.12193225715876163,12.193225715876164,0.12193225715876163,40,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,bedrock,0.10036943060670414,10.036943060670414,0.10036943060670414,39,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,dem_sd,0.0865284293717488,8.65284293717488,0.0865284293717488,36,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,northness,0.08552633624538741,8.55263362453874,0.08552633624538741,37,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana dinarica,GD,500,eastness,0.06336830260837538,6.336830260837538,0.06336830260837538,34,5,9,216,173,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,bio18,0.16948764082411938,16.948764082411937,0.16948764082411938,40,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,bio10,0.1462912043038685,14.62912043038685,0.1462912043038685,40,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,bedrock,0.13380786206718248,13.380786206718248,0.13380786206718248,40,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,bio04,0.13014721065865661,13.014721065865661,0.13014721065865661,36,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,bio19,0.10644599294235989,10.644599294235988,0.10644599294235989,36,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,northness,0.09592576675688429,9.592576675688429,0.09592576675688429,38,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,TPI,0.07557868412833225,7.557868412833225,0.07557868412833225,33,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
recent_extrapol_weights_all_selected,Gentiana tergestina,GT,100,dem_sd,0.07217587408407063,7.217587408407063,0.07217587408407063,32,5,9,216,163,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_extrapol_weights_all_selected/GT/100/esm_fit_bivariate.rds
